"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2010 KK127)","2010-05-21","20.7","0.277","1.28","3.18","3.33","6.97","N","Amor"
"504827 (2010 KZ117)","2010-05-18","19.1","0.166","1.11","3.43","3.42","33.15","N","Amor"
"(2010 KY39)","2010-05-18","20.1","0.303","1.05","2.43","2.3","25.51","N","Amor"
"365424 (2010 KX7)","2010-05-16","21.9","0.034","0.82","1.16","0.98","21.49","Y","Aten"
"C/2010 KW7 (WISE)","2010-05-16","n/a","1.625","2.57","197.11","997.65","147.06","n/a","Comet"
"(2010 KH)","2010-05-16","19.4","0.375","1.25","4.29","4.61","14.56","N","Amor"
"(2010 JM151)","2010-05-14","19.7","0.112","0.88","2.52","2.21","16.65","N","Apollo"
"C/2010 J4 (WISE)","2010-05-12","n/a","0.307","1.09","n/a","n/a","162.3","n/a","Parabolic Comet"
"(2010 JH87)","2010-05-11","19.6","0.223","0.71","2.37","1.91","43.76","N","Apollo"
"(2010 JG87)","2010-05-11","19.1","0.209","0.15","5.38","4.59","16.9","N","Apollo"
"(2010 JF87)","2010-05-11","19.2","0.053","0.92","3.95","3.8","24.92","N","Apollo"
"468727 (2010 JE87)","2010-05-10","20.7","0.035","0.51","1.3","0.86","16.92","Y","Aten"
"P/2010 JC81 (WISE)","2010-05-10","n/a","0.828","1.81","14.46","23.19","38.69","n/a","Halley-type Comet*"
"477588 (2010 JD87)","2010-05-07","19.4","0.283","0.51","2.34","1.71","24.6","N","Apollo"
"(2010 JA43)","2010-05-04","20.9","0.187","1.03","2.39","2.23","36.5","N","Amor"
"(2010 JN33)","2010-05-03","20.5","0.255","1.11","2","1.94","53.15","N","Amor"
"381989 (2010 HR80)","2010-04-28","19.9","0.105","0.68","2.02","1.56","26.71","N","Apollo"
"485110 (2010 HZ108)","2010-04-25","21","0.107","0.99","1.51","1.39","22.88","N","Apollo"
"395207 (2010 HQ80)","2010-04-25","19.6","0.008","0.8","2.34","1.96","27.85","Y","Apollo"
"(2010 HW81)","2010-04-25","21.4","0.118","0.32","2.12","1.35","12.94","N","Apollo"
"(2010 HZ104)","2010-04-23","22.5","0.03","0.97","3.53","3.37","20.25","N","Apollo"
"(2010 HX107)","2010-04-20","23.6","0.013","0.56","1.04","0.72","3.37","N","Aten"
"(2010 HD33)","2010-04-20","18.3","0.37","1.27","3.97","4.24","24.43","N","Amor"
"(2010 GV147)","2010-04-14","18.5","0.317","0.33","1.59","0.94","44.05","N","Aten"
"C/2010 G3 (WISE)","2010-04-14","n/a","4.492","4.91","5260.08","135070.2","108.27","n/a","Comet"
"(2010 GR75)","2010-04-13","19.6","0.299","0.63","2.82","2.27","17.78","N","Apollo"
